180,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
140,12,12,12,12,12,12,12,12,12,12,12,12
100,13,13,13,13,13,12.9,12.8,12.8,12.8,12.8,12.8,12.8
80,13,13,13.1,13,13,12.9,13,13,13,13,13,13
75,13.2,13.2,13.5,13.3,13.3,13.2,13,13.1,13.1,13.1,13.1,13.1
70,13.4,13.4,13.9,13.7,13.6,13.6,13.1,13.1,13.1,13.1,13.1,13.1
60,13.5,13.8,14.5,14.3,14.1,14.1,13.5,13.2,13.2,13.2,13.2,13.2
55,13.6,14.1,14.2,14.9,14.7,14.7,14,13.2,13.2,13.2,13.2,13.2
50,13.5,14,14.2,15.1,15,14.7,14,13.2,13.2,13.2,13.2,13.2
45,13.4,13.9,14.2,15.1,15.2,14.9,14.1,13.2,13.2,13.2,13.2,13.2
30,13.2,13.7,13.5,14.7,15.2,14.9,14.2,13.2,13.2,13.2,13.2,13.2
20,13,13,13,13,14.7,14.7,14.7,14.7,14.7,14.7,13.9,13
,500,800,1100,1400,2000,2600,3100,3700,4300,4900,5400,6000
